시도,시도별_평균_평당가격,시도별_평당가격_중앙값,시도별_총_거래금액,시도별_평균_거래금액,시도별_거래금액_중앙값,시도별_총_거래량
경기도,1654.5880395614129,1433.050272196192,10077750963,39096.81322062041,33000.0,257764
세종특별자치시,1816.0805445051792,1789.8769536287514,407906417,42490.25177083333,40000.0,9600
전라남도,714.1801327603093,639.2823311748382,373895834,15986.652727894649,13000.0,23388
울산광역시,1176.3881759187598,1128.7261596421004,675659141,28587.22830547916,26300.0,23635
전북특별자치도,737.5522266376921,651.7630948305375,517870675,17305.619883040934,14100.0,29925
강원특별자치도,708.1379779574961,655.5572289156628,388335952,15582.679346735686,13600.0,24921
제주특별자치도,1327.9767526520895,1193.5507692307692,104790321,28987.640663900416,26800.0,3615
경상남도,947.2826474458128,876.8512922658376,1198546650,21965.88684847152,19800.0,54564
경상북도,720.8513503289882,690.8308157099698,664363739,16948.48692568688,15400.0,39199
충청남도,863.6107637910667,772.1019108280254,779386955,20180.392920949744,18000.0,38621
충청북도,780.3651366164205,736.2659666421231,525299085,17949.738083034343,16000.0,29265
대전광역시,1239.775959354247,1121.6053611751036,818349108,29162.180457558265,24500.0,28062
광주광역시,1093.8044838582516,969.027845627748,796887684,26516.077729344823,22400.0,30053
인천광역시,1323.856782141622,1206.4983224439345,1739685635,30613.715927288085,26500.0,56827
대구광역시,1336.2586401005858,1194.330430689574,1560023603,32780.49176297541,28300.0,47590
부산광역시,1421.0964933283994,1275.8066091179803,2619016799,34881.62165869771,28500.0,75083
서울특별시,3668.212353386168,3237.9177284205325,7118783550,84729.26694279797,71000.0,84018
